,feature,importance
7,Principle Transport,0.212577908032575
1,Green space and recreational land,0.14400646875776138
8,Urban centres - mainly commercial/retail with residential pockets,0.13509622252475934
5,Low density residential with amenities (suburbs and small villages / hamlets),0.08925565113561114
10,supergroup,0.08708783660290022
3,Industrial areas,0.08091438229466826
2,High density residential with retail and commercial sites,0.07765303727208916
6,Medium density residential with high streets and amenities,0.06102761654733959
9,Water,0.054377213165867154
4,Large complex buildings various use (travel/recreation/ retail),0.04036318914310591
0,Agriculture,0.017640474523322854
